HelioClim-3 Database of Solar Irradiance v5 (derived from satellite data)
Provider;MINES ParisTech / Armines / Transvalor (France)
More information at;http://www.soda-is.com
Site latitude (positive means North);43.630
Site longitude (positive means East);13.500
Elevation (m);0
Take into account the shadows due to relief?;0 (no)
Date beginning;2005-01-01
Date end;2005-01-10
Time reference (decimal hour);TU
Summarization (period of integration);1 minutes (min)
Date - Instant;The date or instant given for each value corresponds to the end of the summarization
Irradiance (W/m2);Irradiance averaged over the period (-999 if no data)
Lower bound (W/m2);Uncertainty in irradiance. Lower bound
Upper bound (W/m2);Uncertainty in irradiance. Upper bound. There is a 68% chance that the actual value is comprised between lower and upper bounds
Code;0: no data; 1: sun below horizon; 2: satellite assessment; 5: interpolation in time
Top of Atmosphere (W/m2);Irradiance averaged over the period at the top of the atmosphere (extraterrestrial)
Clear-Sky (W/m2);Typical irradiance averaged over the period if the sky were clear
Irradiation (Wh/m2);Irradiation over the period (-999 if no data)

1 min mean irradiance and irradiation from HelioClim-3
Year;Month;Day;Time;Irradiance;Lower bound;Upper bound;Code;Top of Atmosphere;Clear-Sky;Irradiation;
2005;1;1;00.0167;0;0;0;1;0;0;0.0000;
2005;1;1;00.0333;0;0;0;1;0;0;0.0000;
2005;1;1;00.0500;0;0;0;1;0;0;0.0000;
2005;1;1;00.0667;0;0;0;1;0;0;0.0000;
2005;1;1;00.0833;0;0;0;1;0;0;0.0000;
2005;1;1;00.1000;0;0;0;1;0;0;0.0000;
2005;1;1;00.1167;0;0;0;1;0;0;0.0000;
2005;1;1;00.1333;0;0;0;1;0;0;0.0000;
2005;1;1;00.1500;0;0;0;1;0;0;0.0000;
2005;1;1;00.1667;0;0;0;1;0;0;0.0000;
2005;1;1;00.1833;0;0;0;1;0;0;0.0000;
2005;1;1;00.2000;0;0;0;1;0;0;0.0000;
2005;1;1;00.2167;0;0;0;1;0;0;0.0000;
2005;1;1;00.2333;0;0;0;1;0;0;0.0000;
2005;1;1;00.2500;0;0;0;1;0;0;0.0000;
2005;1;1;00.2667;0;0;0;1;0;0;0.0000;
2005;1;1;00.2833;0;0;0;1;0;0;0.0000;
2005;1;1;00.3000;0;0;0;1;0;0;0.0000;
2005;1;1;00.3167;0;0;0;1;0;0;0.0000;
2005;1;1;00.3333;0;0;0;1;0;0;0.0000;
2005;1;1;00.3500;0;0;0;1;0;0;0.0000;
