HelioClim-3 Database of Solar Irradiance v5 (derived from satellite data)
Provider;MINES ParisTech / Armines / Transvalor (France)
More information at;http://www.soda-is.com
Site latitude (positive means North);43.630
Site longitude (positive means East);13.500
Elevation (m);0
Take into account the shadows due to relief?;0 (no)
Date beginning;2005-01-01
Date end;2005-12-31
Time reference (decimal hour);TU
Summarization (period of integration);15 minutes (min)
Date - Instant;The date or instant given for each value corresponds to the end of the summarization
Irradiance (W/m2);Irradiance averaged over the period (-999 if no data)
Lower bound (W/m2);Uncertainty in irradiance. Lower bound
Upper bound (W/m2);Uncertainty in irradiance. Upper bound. There is a 68% chance that the actual value is comprised between lower and upper bounds
Code;0: no data; 1: sun below horizon; 2: satellite assessment; 5: interpolation in time
Top of Atmosphere (W/m2);Irradiance averaged over the period at the top of the atmosphere (extraterrestrial)
Clear-Sky (W/m2);Typical irradiance averaged over the period if the sky were clear
Irradiation (Wh/m2);Irradiation over the period (-999 if no data)

15 min mean irradiance and irradiation from HelioClim-3
Year;Month;Day;Time;Irradiance;Lower bound;Upper bound;Code;Top of Atmosphere;Clear-Sky;Irradiation;
2005;1;1;00.2500;0;0;0;1;0;0;0.0000;
2005;1;1;00.5000;0;0;0;1;0;0;0.0000;
2005;1;1;00.7500;0;0;0;1;0;0;0.0000;
2005;1;1;01.0000;0;0;0;1;0;0;0.0000;
2005;1;1;01.2500;0;0;0;1;0;0;0.0000;
2005;1;1;01.5000;0;0;0;1;0;0;0.0000;
2005;1;1;01.7500;0;0;0;1;0;0;0.0000;
2005;1;1;02.0000;0;0;0;1;0;0;0.0000;
2005;1;1;02.2500;0;0;0;1;0;0;0.0000;
2005;1;1;02.5000;0;0;0;1;0;0;0.0000;
2005;1;1;02.7500;0;0;0;1;0;0;0.0000;
2005;1;1;03.0000;0;0;0;1;0;0;0.0000;
2005;1;1;03.2500;0;0;0;1;0;0;0.0000;
2005;1;1;03.5000;0;0;0;1;0;0;0.0000;
2005;1;1;03.7500;0;0;0;1;0;0;0.0000;
2005;1;1;04.0000;0;0;0;1;0;0;0.0000;
2005;1;1;04.2500;0;0;0;1;0;0;0.0000;
2005;1;1;04.5000;0;0;0;1;0;0;0.0000;
2005;1;1;04.7500;0;0;0;1;0;0;0.0000;
2005;1;1;05.0000;0;0;0;1;0;0;0.0000;
2005;1;1;05.2500;0;0;0;1;0;0;0.0000;
2005;1;1;05.5000;0;0;0;1;0;0;0.0000;
2005;1;1;05.7500;0;0;0;1;0;0;0.0000;
2005;1;1;06.0000;0;0;0;1;0;0;0.0000;
2005;1;1;06.2500;0;0;0;1;0;0;0.0000;
2005;1;1;06.5000;0;0;0;1;0;0;0.0000;
2005;1;1;06.7500;0;0;0;1;0;0;0.0000;
2005;1;1;07.0000;8;0;17;5;32;11;2.0999;
2005;1;1;07.2500;26;0;54;5;87;37;6.5188;
2005;1;1;07.5000;49;0;89;5;140;66;12.2614;
2005;1;1;07.7500;78;5;116;5;190;100;19.5831;
2005;1;1;08.0000;110;7;164;5;238;135;27.6444;
2005;1;1;08.2500;144;35;205;5;284;170;36.1998;
2005;1;1;08.5000;172;42;244;2;326;203;43.1043;
2005;1;1;08.7500;126;0;229;2;366;235;31.5419;
2005;1;1;09.0000;172;12;255;2;402;265;43.0227;
2005;1;1;09.2500;214;46;339;2;435;292;53.6282;
2005;1;1;09.5000;282;162;370;2;464;317;70.5970;
2005;1;1;09.7500;320;184;420;2;490;339;80.2018;
2005;1;1;10.0000;338;195;444;2;512;358;84.6546;
2005;1;1;10.2500;343;197;450;2;531;373;85.8288;
2005;1;1;10.5000;313;138;439;2;545;385;78.2846;
2005;1;1;10.7500;335;193;440;2;556;394;83.9281;
2005;1;1;11.0000;350;202;459;2;562;400;87.5952;
2005;1;1;11.2500;363;209;476;2;565;402;90.9231;
2005;1;1;11.5000;310;137;436;2;563;401;77.7382;
2005;1;1;11.7500;297;132;417;2;557;396;74.4849;
2005;1;1;12.0000;331;191;434;2;548;387;82.9268;
2005;1;1;12.2500;338;194;443;2;534;376;84.5539;
2005;1;1;12.5000;324;187;425;2;516;361;81.1607;
2005;1;1;12.7500;304;175;399;2;495;343;76.2397;
2005;1;1;13.0000;293;169;384;2;470;322;73.2853;
2005;1;1;13.2500;258;114;363;2;441;299;64.7263;
2005;1;1;13.5000;233;103;327;2;409;272;58.3380;
2005;1;1;13.7500;207;92;291;2;373;243;51.9876;
2005;1;1;14.0000;178;44;253;2;334;212;44.7488;
2005;1;1;14.2500;146;10;217;5;292;179;36.5109;
2005;1;1;14.5000;113;8;168;5;248;144;28.3256;
2005;1;1;14.7500;82;5;122;5;200;109;20.5781;
2005;1;1;15.0000;53;0;97;5;150;74;13.3957;
2005;1;1;15.2500;29;0;54;5;98;43;7.4599;
2005;1;1;15.5000;11;0;24;5;44;17;2.9673;
2005;1;1;15.7500;0;0;1;5;2;0;0.1262;
2005;1;1;16.0000;0;0;0;1;0;0;0.0000;
2005;1;1;16.2500;0;0;0;1;0;0;0.0000;
2005;1;1;16.5000;0;0;0;1;0;0;0.0000;
2005;1;1;16.7500;0;0;0;1;0;0;0.0000;
2005;1;1;17.0000;0;0;0;1;0;0;0.0000;
2005;1;1;17.2500;0;0;0;1;0;0;0.0000;
2005;1;1;17.5000;0;0;0;1;0;0;0.0000;
2005;1;1;17.7500;0;0;0;1;0;0;0.0000;
2005;1;1;18.0000;0;0;0;1;0;0;0.0000;
2005;1;1;18.2500;0;0;0;1;0;0;0.0000;
2005;1;1;18.5000;0;0;0;1;0;0;0.0000;
2005;1;1;18.7500;0;0;0;1;0;0;0.0000;
2005;1;1;19.0000;0;0;0;1;0;0;0.0000;
2005;1;1;19.2500;0;0;0;1;0;0;0.0000;
2005;1;1;19.5000;0;0;0;1;0;0;0.0000;
2005;1;1;19.7500;0;0;0;1;0;0;0.0000;
2005;1;1;20.0000;0;0;0;1;0;0;0.0000;
2005;1;1;20.2500;0;0;0;1;0;0;0.0000;
2005;1;1;20.5000;0;0;0;1;0;0;0.0000;
2005;1;1;20.7500;0;0;0;1;0;0;0.0000;
2005;1;1;21.0000;0;0;0;1;0;0;0.0000;
2005;1;1;21.2500;0;0;0;1;0;0;0.0000;
2005;1;1;21.5000;0;0;0;1;0;0;0.0000;
2005;1;1;21.7500;0;0;0;1;0;0;0.0000;
2005;1;1;22.0000;0;0;0;1;0;0;0.0000;
2005;1;1;22.2500;0;0;0;1;0;0;0.0000;
2005;1;1;22.5000;0;0;0;1;0;0;0.0000;
2005;1;1;22.7500;0;0;0;1;0;0;0.0000;
2005;1;1;23.0000;0;0;0;1;0;0;0.0000;
2005;1;1;23.2500;0;0;0;1;0;0;0.0000;
2005;1;1;23.5000;0;0;0;1;0;0;0.0000;
2005;1;1;23.7500;0;0;0;1;0;0;0.0000;
2005;1;1;24.0000;0;0;0;1;0;0;0.0000;
2005;1;2;00.2500;0;0;0;1;0;0;0.0000;
2005;1;2;00.5000;0;0;0;1;0;0;0.0000;
2005;1;2;00.7500;0;0;0;1;0;0;0.0000;
2005;1;2;01.0000;0;0;0;1;0;0;0.0000;
2005;1;2;01.2500;0;0;0;1;0;0;0.0000;
2005;1;2;01.5000;0;0;0;1;0;0;0.0000;
2005;1;2;01.7500;0;0;0;1;0;0;0.0000;
2005;1;2;02.0000;0;0;0;1;0;0;0.0000;
2005;1;2;02.2500;0;0;0;1;0;0;0.0000;
2005;1;2;02.5000;0;0;0;1;0;0;0.0000;
2005;1;2;02.7500;0;0;0;1;0;0;0.0000;
2005;1;2;03.0000;0;0;0;1;0;0;0.0000;
2005;1;2;03.2500;0;0;0;1;0;0;0.0000;
2005;1;2;03.5000;0;0;0;1;0;0;0.0000;
2005;1;2;03.7500;0;0;0;1;0;0;0.0000;
2005;1;2;04.0000;0;0;0;1;0;0;0.0000;
2005;1;2;04.2500;0;0;0;1;0;0;0.0000;
2005;1;2;04.5000;0;0;0;1;0;0;0.0000;
2005;1;2;04.7500;0;0;0;1;0;0;0.0000;
2005;1;2;05.0000;0;0;0;1;0;0;0.0000;
2005;1;2;05.2500;0;0;0;1;0;0;0.0000;
2005;1;2;05.5000;0;0;0;1;0;0;0.0000;
2005;1;2;05.7500;0;0;0;1;0;0;0.0000;
2005;1;2;06.0000;0;0;0;1;0;0;0.0000;
2005;1;2;06.2500;0;0;0;1;0;0;0.0000;
2005;1;2;06.5000;0;0;0;1;0;0;0.0000;
2005;1;2;06.7500;0;0;0;1;0;0;0.0000;
2005;1;2;07.0000;7;0;15;5;30;11;1.8679;
2005;1;2;07.2500;23;0;49;5;85;37;5.8855;
2005;1;2;07.5000;42;0;77;5;138;67;10.6696;
2005;1;2;07.7500;66;0;122;5;189;101;16.7492;
2005;1;2;08.0000;94;0;171;5;237;136;23.5619;
2005;1;2;08.2500;125;8;186;5;283;171;31.2741;
2005;1;2;08.5000;154;11;229;2;325;205;38.5436;
2005;1;2;08.7500;175;12;261;2;365;236;43.9019;
2005;1;2;09.0000;195;14;290;2;402;266;48.8058;
2005;1;2;09.2500;260;115;365;2;435;294;65.1612;
2005;1;2;09.5000;272;120;381;2;465;319;68.0176;
2005;1;2;09.7500;253;112;356;2;491;341;63.4595;
2005;1;2;10.0000;264;117;370;2;513;360;66.0827;
2005;1;2;10.2500;318;141;446;2;532;376;79.5949;
2005;1;2;10.5000;355;204;466;2;546;389;88.8745;
2005;1;2;10.7500;368;212;483;2;557;398;92.1652;
2005;1;2;11.0000;388;224;509;2;564;405;97.2197;
2005;1;2;11.2500;386;222;506;2;567;407;96.5051;
2005;1;2;11.5000;382;220;502;2;565;406;95.7388;
2005;1;2;11.7500;374;216;491;2;560;402;93.7363;
2005;1;2;12.0000;369;212;484;2;550;394;92.3192;
2005;1;2;12.2500;357;205;468;2;537;383;89.2592;
2005;1;2;12.5000;337;194;441;2;520;368;84.2603;
2005;1;2;12.7500;315;181;413;2;499;351;78.9161;
2005;1;2;13.0000;299;172;392;2;474;330;74.8234;
2005;1;2;13.2500;275;158;360;2;445;306;68.7890;
2005;1;2;13.5000;247;109;346;2;413;279;61.8203;
2005;1;2;13.7500;217;96;304;2;378;250;54.3204;
2005;1;2;14.0000;184;45;261;2;339;219;46.0959;
2005;1;2;14.2500;149;37;212;5;297;186;37.4873;
2005;1;2;14.5000;117;8;174;5;252;151;29.3576;
2005;1;2;14.7500;85;6;127;5;205;116;21.4986;
2005;1;2;15.0000;56;0;103;5;155;80;14.2194;
2005;1;2;15.2500;32;0;58;5;103;48;8.0836;
2005;1;2;15.5000;13;0;28;5;49;20;3.4336;
2005;1;2;15.7500;1;0;2;5;4;1;0.2645;
2005;1;2;16.0000;0;0;0;1;0;0;0.0000;
2005;1;2;16.2500;0;0;0;1;0;0;0.0000;
2005;1;2;16.5000;0;0;0;1;0;0;0.0000;
2005;1;2;16.7500;0;0;0;1;0;0;0.0000;
2005;1;2;17.0000;0;0;0;1;0;0;0.0000;
2005;1;2;17.2500;0;0;0;1;0;0;0.0000;
2005;1;2;17.5000;0;0;0;1;0;0;0.0000;
2005;1;2;17.7500;0;0;0;1;0;0;0.0000;
2005;1;2;18.0000;0;0;0;1;0;0;0.0000;
2005;1;2;18.2500;0;0;0;1;0;0;0.0000;
2005;1;2;18.5000;0;0;0;1;0;0;0.0000;
2005;1;2;18.7500;0;0;0;1;0;0;0.0000;
2005;1;2;19.0000;0;0;0;1;0;0;0.0000;
2005;1;2;19.2500;0;0;0;1;0;0;0.0000;
2005;1;2;19.5000;0;0;0;1;0;0;0.0000;
2005;1;2;19.7500;0;0;0;1;0;0;0.0000;
2005;1;2;20.0000;0;0;0;1;0;0;0.0000;
2005;1;2;20.2500;0;0;0;1;0;0;0.0000;
2005;1;2;20.5000;0;0;0;1;0;0;0.0000;
2005;1;2;20.7500;0;0;0;1;0;0;0.0000;
2005;1;2;21.0000;0;0;0;1;0;0;0.0000;
2005;1;2;21.2500;0;0;0;1;0;0;0.0000;
2005;1;2;21.5000;0;0;0;1;0;0;0.0000;
2005;1;2;21.7500;0;0;0;1;0;0;0.0000;
2005;1;2;22.0000;0;0;0;1;0;0;0.0000;
2005;1;2;22.2500;0;0;0;1;0;0;0.0000;
2005;1;2;22.5000;0;0;0;1;0;0;0.0000;
2005;1;2;22.7500;0;0;0;1;0;0;0.0000;
2005;1;2;23.0000;0;0;0;1;0;0;0.0000;
2005;1;2;23.2500;0;0;0;1;0;0;0.0000;
2005;1;2;23.5000;0;0;0;1;0;0;0.0000;
2005;1;2;23.7500;0;0;0;1;0;0;0.0000;
2005;1;2;24.0000;0;0;0;1;0;0;0.0000;
2005;1;3;00.2500;0;0;0;1;0;0;0.0000;
2005;1;3;00.5000;0;0;0;1;0;0;0.0000;
2005;1;3;00.7500;0;0;0;1;0;0;0.0000;
2005;1;3;01.0000;0;0;0;1;0;0;0.0000;
2005;1;3;01.2500;0;0;0;1;0;0;0.0000;
